time,P
2023-03-27 8:48:37.7960 AM,99937.33
2023-03-27 8:48:38.7230 AM,99937.69
2023-03-27 8:48:39.6610 AM,99939.93
2023-03-27 8:48:40.6090 AM,99942.27
2023-03-27 8:48:41.5460 AM,99944.85
2023-03-27 8:48:42.4970 AM,99947.26
2023-03-27 8:48:43.4280 AM,99949.13
2023-03-27 8:48:44.3710 AM,99949.37
2023-03-27 8:48:45.3210 AM,99949.45
2023-03-27 8:48:46.2540 AM,99949.64
2023-03-27 8:48:47.1950 AM,99949.71
2023-03-27 8:48:48.1440 AM,99949.79
2023-03-27 8:48:49.0760 AM,99949.8
2023-03-27 8:48:50.0260 AM,99949.8
2023-03-27 8:48:50.9550 AM,99949.8
2023-03-27 8:48:51.9010 AM,99949.82
2023-03-27 8:48:52.8490 AM,99949.88
2023-03-27 8:48:53.7770 AM,99949.88
2023-03-27 8:48:54.7220 AM,99949.88
2023-03-27 8:48:55.6630 AM,99949.88
2023-03-27 8:48:56.6040 AM,99949.79
2023-03-27 8:48:57.5560 AM,99949.69
2023-03-27 8:48:58.5010 AM,99949.58
2023-03-27 8:48:59.4290 AM,99949.56
2023-03-27 8:49:00.3700 AM,99949.56
2023-03-27 8:49:01.3110 AM,99949.78
2023-03-27 8:49:02.2510 AM,99950.09
2023-03-27 8:49:03.1970 AM,99950.39
2023-03-27 8:49:04.1340 AM,99950.87
2023-03-27 8:49:05.0790 AM,99950.87
2023-03-27 8:49:06.0220 AM,99950.73
2023-03-27 8:49:06.9620 AM,99950.56
2023-03-27 8:49:07.9010 AM,99950.22
2023-03-27 8:49:08.8450 AM,99949.93
2023-03-27 8:49:09.7920 AM,99949.81
2023-03-27 8:49:10.7320 AM,99949.81
2023-03-27 8:49:11.6660 AM,99949.86
2023-03-27 8:49:12.6090 AM,99949.94
2023-03-27 8:49:13.5540 AM,99949.94
2023-03-27 8:49:14.4860 AM,99949.85
2023-03-27 8:49:15.4420 AM,99949.84
2023-03-27 8:49:16.3850 AM,99949.75
2023-03-27 8:49:17.3140 AM,99949.44
2023-03-27 8:49:18.2580 AM,99949.44
2023-03-27 8:49:19.1990 AM,99949.32
2023-03-27 8:49:20.1420 AM,99949.34
2023-03-27 8:49:21.0860 AM,99949.32
2023-03-27 8:49:22.0210 AM,99947.45
2023-03-27 8:49:22.9580 AM,99945.13
2023-03-27 8:49:23.9060 AM,99941.88
2023-03-27 8:49:24.8450 AM,99937.91
2023-03-27 8:49:25.7830 AM,99932.98
2023-03-27 8:49:26.7280 AM,99928.76
2023-03-27 8:49:27.6650 AM,99925.03
2023-03-27 8:49:28.6160 AM,99921.52
2023-03-27 8:49:29.5480 AM,99918.34
2023-03-27 8:49:30.4920 AM,99914.99
